festival_event,event_date,year
Saraswati Puja,2024-02-14,2024
Eid-Ul-Fitr,2024-04-11,2024
Poila Boishakh / Bengali New Year,2024-04-14,2024
Rath Yatra,2024-07-07,2024
Janmashtami,2024-08-26,2024
Ganesh Chaturthi,2024-09-07,2024
Durga Puja,2024-10-07,2024
Durga Puja,2024-10-08,2024
Durga Puja,2024-10-09,2024
Durga Puja,2024-10-10,2024
Durga Puja,2024-10-11,2024
Durga Puja / Dashami,2024-10-12,2024
Lakshmi Puja,2024-10-16,2024
Kali Puja / Diwali,2024-10-31,2024
Chhat Puja,2024-11-07,2024
Christmas,2024-12-25,2024
Saraswati Puja,2025-02-03,2025
Doljatra / Holi,2025-03-14,2025
Eid-Ul-Fitr,2025-03-31,2025
Poila Boishakh / Bengali New Year,2025-04-15,2025
Rath Yatra,2025-06-27,2025
Janmashtami,2025-08-15,2025
Ganesh Chaturthi,2025-08-27,2025
Vishwakarma Puja,2025-09-17,2025
Durga Puja,2025-09-26,2025
Durga Puja,2025-09-27,2025
Durga Puja,2025-09-28,2025
Durga Puja,2025-09-29,2025
Durga Puja,2025-09-30,2025
Durga Puja,2025-10-01,2025
Durga Puja / Dashami,2025-10-02,2025
Lakshmi Puja,2025-10-06,2025
Kali Puja / Diwali,2025-10-20,2025
Bhratridwitiya,2025-10-23,2025
Chhat Puja,2025-10-27,2025
Christmas,2025-12-25,2025
