festival_id,festival_event,event_date,year,week_id
FES-001,Saraswati Puja,2024-02-14,2024,2024-W07
FES-002,Eid-Ul-Fitr,2024-04-11,2024,2024-W15
FES-003,Poila Boishakh / Bengali New Year,2024-04-14,2024,2024-W15
FES-004,Rath Yatra,2024-07-07,2024,2024-W27
FES-005,Janmashtami,2024-08-26,2024,2024-W35
FES-006,Ganesh Chaturthi,2024-09-07,2024,2024-W36
FES-007,Durga Puja,2024-10-07,2024,2024-W41
FES-008,Durga Puja,2024-10-08,2024,2024-W41
FES-009,Durga Puja,2024-10-09,2024,2024-W41
FES-010,Durga Puja,2024-10-10,2024,2024-W41
FES-011,Durga Puja,2024-10-11,2024,2024-W41
FES-012,Durga Puja / Dashami,2024-10-12,2024,2024-W41
FES-013,Lakshmi Puja,2024-10-16,2024,2024-W42
FES-014,Kali Puja / Diwali,2024-10-31,2024,2024-W44
FES-015,Chhat Puja,2024-11-07,2024,2024-W45
FES-016,Christmas,2024-12-25,2024,2024-W52
FES-017,Saraswati Puja,2025-02-03,2025,2025-W06
FES-018,Doljatra / Holi,2025-03-14,2025,2025-W11
FES-019,Eid-Ul-Fitr,2025-03-31,2025,2025-W14
FES-020,Poila Boishakh / Bengali New Year,2025-04-15,2025,2025-W16
FES-021,Rath Yatra,2025-06-27,2025,2025-W26
FES-022,Janmashtami,2025-08-15,2025,2025-W33
FES-023,Ganesh Chaturthi,2025-08-27,2025,2025-W35
FES-024,Vishwakarma Puja,2025-09-17,2025,2025-W38
FES-025,Durga Puja,2025-09-26,2025,2025-W39
FES-026,Durga Puja,2025-09-27,2025,2025-W39
FES-027,Durga Puja,2025-09-28,2025,2025-W39
FES-028,Durga Puja,2025-09-29,2025,2025-W40
FES-029,Durga Puja,2025-09-30,2025,2025-W40
FES-030,Durga Puja,2025-10-01,2025,2025-W40
FES-031,Durga Puja / Dashami,2025-10-02,2025,2025-W40
FES-032,Lakshmi Puja,2025-10-06,2025,2025-W41
FES-033,Kali Puja / Diwali,2025-10-20,2025,2025-W43
FES-034,Bhratridwitiya,2025-10-23,2025,2025-W43
FES-035,Chhat Puja,2025-10-27,2025,2025-W44
FES-036,Christmas,2025-12-25,2025,2025-W52
