inventory_id,warehouse_id,product_id,shelf_id,available_stock,safety_stock
INV-001,WH-001,PRO-001,WH-KOL-001-Z01-R01-S01,77,12
INV-002,WH-001,PRO-002,WH-KOL-001-Z01-R01-S01,95,14
INV-003,WH-001,PRO-003,WH-KOL-001-Z01-R01-S01,63,9
INV-004,WH-001,PRO-004,WH-KOL-001-Z01-R01-S01,76,11
INV-005,WH-001,PRO-005,WH-KOL-001-Z01-R01-S01,72,11
INV-006,WH-001,PRO-006,WH-KOL-001-Z01-R01-S02,89,13
INV-007,WH-001,PRO-007,WH-KOL-001-Z01-R01-S02,92,14
INV-008,WH-001,PRO-008,WH-KOL-001-Z01-R01-S02,81,12
INV-009,WH-001,PRO-009,WH-KOL-001-Z01-R01-S02,73,11
INV-010,WH-001,PRO-010,WH-KOL-001-Z01-R01-S02,81,12
INV-011,WH-001,PRO-011,WH-KOL-001-Z01-R01-S03,37,6
INV-012,WH-001,PRO-012,WH-KOL-001-Z01-R01-S03,39,6
INV-013,WH-001,PRO-013,WH-KOL-001-Z01-R01-S03,49,7
INV-014,WH-001,PRO-014,WH-KOL-001-Z01-R01-S03,43,6
INV-015,WH-001,PRO-015,WH-KOL-001-Z01-R01-S03,47,7
INV-016,WH-001,PRO-016,WH-KOL-001-Z01-R01-S04,56,8
INV-017,WH-001,PRO-017,WH-KOL-001-Z01-R01-S04,43,6
INV-018,WH-001,PRO-018,WH-KOL-001-Z01-R01-S04,52,8
INV-019,WH-001,PRO-019,WH-KOL-001-Z01-R01-S04,36,5
INV-020,WH-001,PRO-020,WH-KOL-001-Z01-R01-S04,57,9
INV-021,WH-001,PRO-021,WH-KOL-001-Z01-R01-S05,69,10
INV-022,WH-001,PRO-022,WH-KOL-001-Z01-R01-S05,96,14
INV-023,WH-001,PRO-023,WH-KOL-001-Z01-R01-S05,53,8
INV-024,WH-001,PRO-024,WH-KOL-001-Z01-R01-S05,84,13
INV-025,WH-001,PRO-025,WH-KOL-001-Z01-R01-S05,55,8
INV-026,WH-001,PRO-026,WH-KOL-001-Z01-R02-S01,76,11
INV-027,WH-001,PRO-027,WH-KOL-001-Z01-R02-S01,62,9
INV-028,WH-001,PRO-028,WH-KOL-001-Z01-R02-S01,92,14
INV-029,WH-001,PRO-029,WH-KOL-001-Z01-R02-S01,103,15
INV-030,WH-001,PRO-030,WH-KOL-001-Z01-R02-S01,103,15
INV-031,WH-001,PRO-031,WH-KOL-001-Z01-R02-S02,79,12
INV-032,WH-001,PRO-032,WH-KOL-001-Z01-R02-S02,88,13
INV-033,WH-001,PRO-033,WH-KOL-001-Z01-R02-S02,93,14
INV-034,WH-001,PRO-034,WH-KOL-001-Z01-R02-S02,105,16
INV-035,WH-001,PRO-035,WH-KOL-001-Z01-R02-S02,120,18
INV-036,WH-001,PRO-036,WH-KOL-001-Z01-R02-S03,93,14
INV-037,WH-001,PRO-037,WH-KOL-001-Z01-R02-S03,78,12
INV-038,WH-001,PRO-038,WH-KOL-001-Z01-R02-S03,84,13
INV-039,WH-001,PRO-039,WH-KOL-001-Z01-R02-S03,46,7
INV-040,WH-001,PRO-040,WH-KOL-001-Z01-R02-S03,88,13
INV-041,WH-001,PRO-041,WH-KOL-001-Z01-R02-S04,53,8
INV-042,WH-001,PRO-042,WH-KOL-001-Z01-R02-S04,89,13
INV-043,WH-001,PRO-043,WH-KOL-001-Z01-R02-S04,44,7
INV-044,WH-001,PRO-044,WH-KOL-001-Z01-R02-S04,47,7
INV-045,WH-001,PRO-045,WH-KOL-001-Z01-R02-S04,134,20
INV-046,WH-001,PRO-046,WH-KOL-001-Z01-R02-S05,63,9
INV-047,WH-001,PRO-047,WH-KOL-001-Z01-R02-S05,57,9
INV-048,WH-001,PRO-048,WH-KOL-001-Z01-R02-S05,49,7
INV-049,WH-001,PRO-049,WH-KOL-001-Z01-R02-S05,43,6
INV-050,WH-001,PRO-050,WH-KOL-001-Z01-R02-S05,113,17
INV-051,WH-001,PRO-051,WH-KOL-001-Z02-R01-S01,39,6
INV-052,WH-001,PRO-052,WH-KOL-001-Z02-R01-S01,51,8
INV-053,WH-001,PRO-053,WH-KOL-001-Z02-R01-S01,77,12
INV-054,WH-001,PRO-054,WH-KOL-001-Z02-R01-S01,91,14
INV-055,WH-001,PRO-055,WH-KOL-001-Z02-R01-S01,39,6
INV-056,WH-001,PRO-056,WH-KOL-001-Z02-R01-S02,46,7
INV-057,WH-001,PRO-057,WH-KOL-001-Z02-R01-S02,50,8
INV-058,WH-001,PRO-058,WH-KOL-001-Z02-R01-S02,55,8
INV-059,WH-001,PRO-059,WH-KOL-001-Z02-R01-S02,53,8
INV-060,WH-001,PRO-060,WH-KOL-001-Z02-R01-S02,41,6
INV-061,WH-001,PRO-061,WH-KOL-001-Z02-R01-S03,35,5
INV-062,WH-001,PRO-062,WH-KOL-001-Z02-R01-S03,49,7
INV-063,WH-001,PRO-063,WH-KOL-001-Z02-R01-S03,42,6
INV-064,WH-001,PRO-064,WH-KOL-001-Z02-R01-S03,44,7
INV-065,WH-001,PRO-065,WH-KOL-001-Z02-R01-S03,53,8
INV-066,WH-001,PRO-066,WH-KOL-001-Z02-R01-S04,43,6
INV-067,WH-001,PRO-067,WH-KOL-001-Z02-R01-S04,59,9
INV-068,WH-001,PRO-068,WH-KOL-001-Z02-R01-S04,54,8
INV-069,WH-001,PRO-069,WH-KOL-001-Z02-R01-S04,48,7
INV-070,WH-001,PRO-070,WH-KOL-001-Z02-R01-S04,56,8
INV-071,WH-001,PRO-071,WH-KOL-001-Z02-R01-S05,51,8
INV-072,WH-001,PRO-072,WH-KOL-001-Z02-R01-S05,47,7
INV-073,WH-001,PRO-073,WH-KOL-001-Z02-R01-S05,56,8
INV-074,WH-001,PRO-074,WH-KOL-001-Z02-R01-S05,43,6
INV-075,WH-001,PRO-075,WH-KOL-001-Z02-R01-S05,44,7
INV-076,WH-001,PRO-076,WH-KOL-001-Z02-R02-S01,39,6
INV-077,WH-001,PRO-077,WH-KOL-001-Z02-R02-S01,55,8
INV-078,WH-001,PRO-078,WH-KOL-001-Z02-R02-S01,45,7
INV-079,WH-001,PRO-079,WH-KOL-001-Z02-R02-S01,44,7
INV-080,WH-001,PRO-080,WH-KOL-001-Z02-R02-S01,51,8
INV-081,WH-001,PRO-081,WH-KOL-001-Z02-R02-S02,52,8
INV-082,WH-001,PRO-082,WH-KOL-001-Z02-R02-S02,46,7
INV-083,WH-001,PRO-083,WH-KOL-001-Z02-R02-S02,52,8
INV-084,WH-001,PRO-084,WH-KOL-001-Z02-R02-S02,37,6
INV-085,WH-001,PRO-085,WH-KOL-001-Z02-R02-S02,44,7
INV-086,WH-001,PRO-086,WH-KOL-001-Z02-R02-S03,43,6
INV-087,WH-001,PRO-087,WH-KOL-001-Z02-R02-S03,42,6
INV-088,WH-001,PRO-088,WH-KOL-001-Z02-R02-S03,36,5
INV-089,WH-001,PRO-089,WH-KOL-001-Z02-R02-S03,52,8
INV-090,WH-001,PRO-090,WH-KOL-001-Z02-R02-S03,47,7
INV-091,WH-001,PRO-091,WH-KOL-001-Z02-R02-S04,49,7
INV-092,WH-001,PRO-092,WH-KOL-001-Z02-R02-S04,40,6
INV-093,WH-001,PRO-093,WH-KOL-001-Z02-R02-S04,40,6
INV-094,WH-001,PRO-094,WH-KOL-001-Z02-R02-S04,49,7
INV-095,WH-001,PRO-095,WH-KOL-001-Z02-R02-S04,50,8
INV-096,WH-001,PRO-096,WH-KOL-001-Z02-R02-S05,45,7
INV-097,WH-001,PRO-097,WH-KOL-001-Z02-R02-S05,50,8
INV-098,WH-001,PRO-098,WH-KOL-001-Z02-R02-S05,52,8
INV-099,WH-001,PRO-099,WH-KOL-001-Z02-R02-S05,38,6
INV-100,WH-001,PRO-100,WH-KOL-001-Z02-R02-S05,59,9
INV-101,WH-001,PRO-101,WH-KOL-001-Z03-R01-S01,56,8
INV-102,WH-001,PRO-102,WH-KOL-001-Z03-R01-S01,55,8
INV-103,WH-001,PRO-103,WH-KOL-001-Z03-R01-S01,49,7
INV-104,WH-001,PRO-104,WH-KOL-001-Z03-R01-S01,47,7
INV-105,WH-001,PRO-105,WH-KOL-001-Z03-R01-S01,51,8
INV-106,WH-001,PRO-106,WH-KOL-001-Z03-R01-S02,37,6
INV-107,WH-001,PRO-107,WH-KOL-001-Z03-R01-S02,95,14
INV-108,WH-001,PRO-108,WH-KOL-001-Z03-R01-S02,52,8
INV-109,WH-001,PRO-109,WH-KOL-001-Z03-R01-S02,37,6
INV-110,WH-001,PRO-110,WH-KOL-001-Z03-R01-S02,47,7
INV-111,WH-001,PRO-111,WH-KOL-001-Z03-R01-S03,43,6
INV-112,WH-001,PRO-112,WH-KOL-001-Z03-R01-S03,43,6
INV-113,WH-001,PRO-113,WH-KOL-001-Z03-R01-S03,83,12
INV-114,WH-001,PRO-114,WH-KOL-001-Z03-R01-S03,41,6
INV-115,WH-001,PRO-115,WH-KOL-001-Z03-R01-S03,45,7
INV-116,WH-001,PRO-116,WH-KOL-001-Z03-R01-S04,50,8
INV-117,WH-001,PRO-117,WH-KOL-001-Z03-R01-S04,46,7
INV-118,WH-001,PRO-118,WH-KOL-001-Z03-R01-S04,97,15
INV-119,WH-001,PRO-119,WH-KOL-001-Z03-R01-S04,52,8
INV-120,WH-001,PRO-120,WH-KOL-001-Z03-R01-S04,75,11
INV-121,WH-001,PRO-121,WH-KOL-001-Z03-R01-S05,54,8
INV-122,WH-001,PRO-122,WH-KOL-001-Z03-R01-S05,43,6
INV-123,WH-001,PRO-123,WH-KOL-001-Z03-R01-S05,53,8
INV-124,WH-001,PRO-124,WH-KOL-001-Z03-R01-S05,48,7
INV-125,WH-001,PRO-125,WH-KOL-001-Z03-R01-S05,75,11
INV-126,WH-001,PRO-126,WH-KOL-001-Z03-R02-S01,55,8
INV-127,WH-001,PRO-127,WH-KOL-001-Z03-R02-S01,50,8
INV-128,WH-001,PRO-128,WH-KOL-001-Z03-R02-S01,71,11
INV-129,WH-001,PRO-129,WH-KOL-001-Z03-R02-S01,45,7
INV-130,WH-001,PRO-130,WH-KOL-001-Z03-R02-S01,41,6
INV-131,WH-001,PRO-131,WH-KOL-001-Z03-R02-S02,68,10
INV-132,WH-001,PRO-132,WH-KOL-001-Z03-R02-S02,75,11
INV-133,WH-001,PRO-133,WH-KOL-001-Z03-R02-S02,59,9
INV-134,WH-001,PRO-134,WH-KOL-001-Z03-R02-S02,83,12
INV-135,WH-001,PRO-135,WH-KOL-001-Z03-R02-S02,65,10
INV-136,WH-001,PRO-136,WH-KOL-001-Z03-R02-S03,68,10
INV-137,WH-001,PRO-137,WH-KOL-001-Z03-R02-S03,71,11
INV-138,WH-001,PRO-138,WH-KOL-001-Z03-R02-S03,60,9
INV-139,WH-001,PRO-139,WH-KOL-001-Z03-R02-S03,91,14
INV-140,WH-001,PRO-140,WH-KOL-001-Z03-R02-S03,92,14
INV-141,WH-001,PRO-141,WH-KOL-001-Z03-R02-S04,57,9
INV-142,WH-001,PRO-142,WH-KOL-001-Z03-R02-S04,51,8
INV-143,WH-001,PRO-143,WH-KOL-001-Z03-R02-S04,44,7
INV-144,WH-001,PRO-144,WH-KOL-001-Z03-R02-S04,58,9
INV-145,WH-001,PRO-145,WH-KOL-001-Z03-R02-S04,48,7
INV-146,WH-001,PRO-146,WH-KOL-001-Z03-R02-S05,39,6
INV-147,WH-001,PRO-147,WH-KOL-001-Z03-R02-S05,43,6
INV-148,WH-001,PRO-148,WH-KOL-001-Z03-R02-S05,42,6
INV-149,WH-001,PRO-149,WH-KOL-001-Z03-R02-S05,58,9
INV-150,WH-001,PRO-150,WH-KOL-001-Z03-R02-S05,54,8
INV-151,WH-001,PRO-151,WH-KOL-001-Z04-R01-S01,57,9
INV-152,WH-001,PRO-152,WH-KOL-001-Z04-R01-S01,38,6
INV-153,WH-001,PRO-153,WH-KOL-001-Z04-R01-S01,40,6
INV-154,WH-001,PRO-154,WH-KOL-001-Z04-R01-S01,42,6
INV-155,WH-001,PRO-155,WH-KOL-001-Z04-R01-S01,50,8
INV-156,WH-001,PRO-156,WH-KOL-001-Z04-R01-S02,53,8
INV-157,WH-001,PRO-157,WH-KOL-001-Z04-R01-S02,38,6
INV-158,WH-001,PRO-158,WH-KOL-001-Z04-R01-S02,39,6
INV-159,WH-001,PRO-159,WH-KOL-001-Z04-R01-S02,45,7
INV-160,WH-001,PRO-160,WH-KOL-001-Z04-R01-S02,55,8
INV-161,WH-001,PRO-161,WH-KOL-001-Z04-R01-S03,37,6
INV-162,WH-001,PRO-162,WH-KOL-001-Z04-R01-S03,35,5
INV-163,WH-001,PRO-163,WH-KOL-001-Z04-R01-S03,38,6
INV-164,WH-001,PRO-164,WH-KOL-001-Z04-R01-S03,52,8
INV-165,WH-001,PRO-165,WH-KOL-001-Z04-R01-S03,45,7
INV-166,WH-001,PRO-166,WH-KOL-001-Z04-R01-S04,41,6
INV-167,WH-001,PRO-167,WH-KOL-001-Z04-R01-S04,46,7
INV-168,WH-001,PRO-168,WH-KOL-001-Z04-R01-S04,51,8
INV-169,WH-001,PRO-169,WH-KOL-001-Z04-R01-S04,58,9
INV-170,WH-001,PRO-170,WH-KOL-001-Z04-R01-S04,39,6
INV-171,WH-001,PRO-171,WH-KOL-001-Z04-R01-S05,50,8
