sale_id,week_id,week_start_date,week_end_date,location_id,product_id,units_sold,avg_selling_price_rs,revenue_rs
SALE-000001,2024-W01,2024-01-01,2024-01-07,KOL-LOC-001,PRO-045,146,52.79,7707.34
SALE-000002,2024-W01,2024-01-01,2024-01-07,KOL-LOC-001,PRO-139,98,273.6,26812.800000000003
SALE-000003,2024-W01,2024-01-01,2024-01-07,KOL-LOC-001,PRO-132,94,293.38,27577.72
SALE-000004,2024-W01,2024-01-01,2024-01-07,KOL-LOC-001,PRO-037,86,38.36,3298.96
SALE-000005,2024-W01,2024-01-01,2024-01-07,KOL-LOC-001,PRO-188,83,78.95,6552.85
SALE-000006,2024-W01,2024-01-01,2024-01-07,KOL-LOC-002,PRO-134,129,567.05,73149.45
SALE-000007,2024-W01,2024-01-01,2024-01-07,KOL-LOC-002,PRO-131,129,534.5,68950.5
SALE-000008,2024-W01,2024-01-01,2024-01-07,KOL-LOC-002,PRO-139,126,649.69,81860.94
SALE-000009,1970-W01,1970-01-01,1970-01-01,KOL-LOC-002,PRO-132,122,292.64,35702.08
SALE-000010,1970-W01,1970-01-01,1970-01-01,KOL-LOC-002,PRO-042,117,17.04,1993.6799999999998
SALE-000011,1970-W01,1970-01-01,1970-01-01,KOL-LOC-003,PRO-034,111,61.03,6774.33
SALE-000012,1970-W01,1970-01-01,1970-01-01,KOL-LOC-003,PRO-137,106,159.37,16893.22
SALE-000013,1970-W01,1970-01-01,1970-01-01,KOL-LOC-003,PRO-139,106,2393.65,253726.90000000002
SALE-000014,1970-W01,1970-01-01,1970-01-01,KOL-LOC-003,PRO-189,82,35.65,2923.2999999999997
SALE-000015,1970-W01,1970-01-01,1970-01-01,KOL-LOC-003,PRO-136,80,32.4,2592.0
SALE-000016,1970-W01,1970-01-01,1970-01-01,KOL-LOC-004,PRO-139,131,140.89,18456.589999999997
SALE-000017,1970-W01,1970-01-01,1970-01-01,KOL-LOC-004,PRO-136,117,65.17,7624.89
SALE-000018,1970-W01,1970-01-01,1970-01-01,KOL-LOC-004,PRO-024,100,133.21,13321.0
SALE-000019,2024-W01,2024-01-01,2024-01-07,KOL-LOC-004,PRO-125,96,25.43,2441.2799999999997
SALE-000020,2024-W01,2024-01-01,2024-01-07,KOL-LOC-004,PRO-042,95,80.76,7672.200000000001
SALE-000021,2024-W01,2024-01-01,2024-01-07,KOL-LOC-005,PRO-137,145,152.98,22182.1
SALE-000022,2024-W01,2024-01-01,2024-01-07,KOL-LOC-005,PRO-131,128,548.95,70265.6
SALE-000023,2024-W01,2024-01-01,2024-01-07,KOL-LOC-005,PRO-132,117,153.39,17946.629999999997
SALE-000024,2024-W01,2024-01-01,2024-01-07,KOL-LOC-005,PRO-189,104,153.96,16011.84
SALE-000025,2024-W01,2024-01-01,2024-01-07,KOL-LOC-005,PRO-181,102,91.82,9365.64
SALE-000026,2024-W01,2024-01-01,2024-01-07,KOL-LOC-006,PRO-139,108,648.69,70058.52
SALE-000027,2024-W01,2024-01-01,2024-01-07,KOL-LOC-006,PRO-132,99,32.81,3248.19
SALE-000028,2024-W01,2024-01-01,2024-01-07,KOL-LOC-006,PRO-136,90,578.69,52082.100000000006
