weather_id,week_id,week_start_date,week_end_date,season,temperature_mean_c,rainfall_mm,humidity_pct,weather_condition
WEA-001,2024-W01,2024-01-01,2024-01-07,Winter,18.6,12.9,56.8,Clear/Partly Cloudy
WEA-002,2024-W02,2024-01-08,2024-01-14,Winter,19.4,4.5,62.3,Clear/Partly Cloudy
WEA-003,2024-W03,2024-01-15,2024-01-21,Winter,19.0,2.1,65.3,Clear/Partly Cloudy
WEA-004,2024-W04,2024-01-22,2024-01-28,Winter,19.4,5.0,56.1,Clear/Partly Cloudy
WEA-005,2024-W05,2024-01-29,2024-02-04,Winter,21.0,3.5,56.5,Clear/Partly Cloudy
WEA-006,2024-W06,2024-02-05,2024-02-11,Winter,23.1,10.5,57.9,Clear/Partly Cloudy
WEA-007,2024-W07,2024-02-12,2024-02-18,Winter,23.5,5.8,64.1,Clear/Partly Cloudy
WEA-008,2024-W08,2024-02-19,2024-02-25,Winter,23.2,9.1,66.6,Clear/Partly Cloudy
WEA-009,2024-W09,2024-02-26,2024-03-03,Winter,25.3,16.3,55.4,Clear/Partly Cloudy
WEA-010,2024-W10,2024-03-04,2024-03-10,Spring,26.7,10.6,66.6,Clear/Partly Cloudy
WEA-011,2024-W11,2024-03-11,2024-03-17,Spring,27.0,4.8,66.2,Clear/Partly Cloudy
WEA-012,2024-W12,2024-03-18,2024-03-24,Spring,27.9,11.2,66.6,Clear/Partly Cloudy
WEA-013,2024-W13,2024-03-25,2024-03-31,Spring,27.5,2.5,70.7,Clear/Partly Cloudy
WEA-014,2024-W14,2024-04-01,2024-04-07,Spring,33.4,16.0,61.9,Clear/Partly Cloudy
WEA-015,2024-W15,2024-04-08,2024-04-14,Spring,33.6,9.6,71.8,Clear/Partly Cloudy
WEA-016,2024-W16,2024-04-15,2024-04-21,Spring,32.5,12.9,68.0,Clear/Partly Cloudy
WEA-017,2024-W17,2024-04-22,2024-04-28,Spring,32.8,5.7,61.0,Clear/Partly Cloudy
WEA-018,2024-W18,2024-04-29,2024-05-05,Summer,31.5,13.1,69.9,Clear/Partly Cloudy
WEA-019,2024-W19,2024-05-06,2024-05-12,Summer,29.7,5.3,62.1,Clear/Partly Cloudy
WEA-020,2024-W20,2024-05-13,2024-05-19,Summer,31.0,1.9,62.9,Clear/Partly Cloudy
WEA-021,2024-W21,2024-05-20,2024-05-26,Summer,31.1,9.6,74.7,Clear/Partly Cloudy
WEA-022,2024-W22,2024-05-27,2024-06-02,Summer,30.3,16.1,66.0,Clear/Partly Cloudy
WEA-023,2024-W23,2024-06-03,2024-06-09,Summer,31.5,20.0,71.5,Clear/Partly Cloudy
WEA-024,2024-W24,2024-06-10,2024-06-16,Summer,31.4,13.7,74.7,Clear/Partly Cloudy
WEA-025,2024-W25,2024-06-17,2024-06-23,Summer,31.9,6.8,67.0,Clear/Partly Cloudy
WEA-026,2024-W26,2024-06-24,2024-06-30,Summer,31.0,13.0,69.7,Clear/Partly Cloudy
WEA-027,2024-W27,2024-07-01,2024-07-07,Monsoon,29.5,3.4,79.6,Clear/Partly Cloudy
WEA-028,2024-W28,2024-07-08,2024-07-14,Monsoon,30.9,6.6,89.5,Cloudy
WEA-029,2024-W29,2024-07-15,2024-07-21,Monsoon,28.9,8.2,89.6,Cloudy
WEA-030,2024-W30,2024-07-22,2024-07-28,Monsoon,30.0,7.1,87.7,Cloudy
WEA-031,2024-W31,2024-07-29,2024-08-04,Monsoon,29.3,4.2,87.1,Cloudy
WEA-032,2024-W32,2024-08-05,2024-08-11,Monsoon,29.5,11.2,78.6,Clear/Partly Cloudy
WEA-033,2024-W33,2024-08-12,2024-08-18,Monsoon,28.9,6.1,83.3,Cloudy
WEA-034,2024-W34,2024-08-19,2024-08-25,Monsoon,29.6,4.1,84.1,Cloudy
WEA-035,2024-W35,2024-08-26,2024-09-01,Monsoon,29.7,2.5,91.5,Cloudy
WEA-036,2024-W36,2024-09-02,2024-09-08,Monsoon,29.4,11.1,81.9,Clear/Partly Cloudy
WEA-037,2024-W37,2024-09-09,2024-09-15,Monsoon,30.8,6.4,90.1,Cloudy
WEA-038,2024-W38,2024-09-16,2024-09-22,Monsoon,29.4,4.4,90.7,Cloudy
WEA-039,2024-W39,2024-09-23,2024-09-29,Monsoon,29.5,11.0,86.6,Cloudy
WEA-040,2024-W40,2024-09-30,2024-10-06,Autumn,29.1,9.7,72.5,Clear/Partly Cloudy
WEA-041,2024-W41,2024-10-07,2024-10-13,Autumn,29.2,4.1,69.1,Clear/Partly Cloudy
WEA-042,2024-W42,2024-10-14,2024-10-20,Autumn,28.7,8.4,73.0,Clear/Partly Cloudy
