source_id,source_file,sheet_name,domain,source_type,row_count,col_count,column_names,blank_headers,duplicate_headers,profiled_at
SRC-001,locations.csv.csv,N/A,Location,MASTER,40,2,location_id|region_of_kolkata,,,2026-09-21T13:20:44.305191+00:00
SRC-002,products.csv,N/A,Product,MASTER,200,22,product_id|category_code|category_name|product_name|brand|quality_level|unit_type|unit_size_1|cp_1_rs|sp_1_rs|unit_size_2|cp_2_rs|sp_2_rs|unit_size_3|cp_3_rs|sp_3_rs|unit_size_4|cp_4_rs|sp_4_rs|unit_size_5|cp_5_rs|sp_5_rs,,,2026-09-21T13:20:44.329495+00:00
SRC-003,Final product list.xlsx,product_master,Product,MASTER,200,22,product_id|category_code|category_name|product_name|brand|quality_level|unit_type|unit_size_1|cp_1_rs|sp_1_rs|unit_size_2|cp_2_rs|sp_2_rs|unit_size_3|cp_3_rs|sp_3_rs|unit_size_4|cp_4_rs|sp_4_rs|unit_size_5|cp_5_rs|sp_5_rs,,,2026-09-21T13:20:44.420954+00:00
SRC-003,Final product list.xlsx,category_summary,Product,MASTER,20,3,category_code|category_name|product_count,,,2026-09-21T13:20:44.467131+00:00
SRC-004,festival_calendar.csv,N/A,Festival/Calendar,REFERENCE,36,3,festival_event|event_date|year,,,2026-09-21T13:20:44.469098+00:00
SRC-005,weather_weekly.csv,N/A,Weather,EXTERNAL_CONTEXT,105,10,week_start_date|week_end_date|year|season|temperature_mean_c|temperature_max_c|temperature_min_c|rainfall_mm|humidity_pct|weather_condition,,,2026-09-21T13:20:44.492869+00:00
SRC-006,Demand of last 2 years.xlsx,demand_training_data,Demand,HISTORICAL_FACT|TRAINING_DATA,27800,44,demand_id|week_start_date|week_end_date|year|week_number|location_id|region_of_kolkata|demand_rank|product_id|product_name|category_name|brand|unit_size|weekday_weekend|weekday_units_sold|weekend_units_sold|units_sold|avg_selling_price_rs|promotion_flag|discount_pct|holiday_flag|festival_event|season|temperature_c|rainfall_mm|humidity_pct|weather_condition|stockout_flag|forecast_target_start|forecast_target_end|next_week_demand_target_units|data_source|recorded_at|region_week_key|region_product_week_key|assortment_size|rank_scope|rank_basis|selling_unit_workbook|selling_unit_sheet|selling_unit_source_row|selling_unit_lookup_hint|reference_layer|anchor_status,,,2026-09-21T13:20:52.959373+00:00
SRC-007,final_demand_agent_training_2_years_kolkata.xlsx,demand_training_data,Demand,TRAINING_DATA,20800,34,demand_id|week_start_date|week_end_date|year|week_number|location_id|region_of_kolkata|demand_rank|product_id|product_name|category_name|brand|unit_size|weekday_weekend|weekday_units_sold|weekend_units_sold|units_sold|avg_selling_price_rs|promotion_flag|discount_pct|holiday_flag|festival_event|season|temperature_c|rainfall_mm|humidity_pct|weather_condition|stockout_flag|forecast_target_start|forecast_target_end|next_week_demand_target_units|data_source|recorded_at|_unnamed_33,,,2026-09-21T13:20:59.850613+00:00
SRC-009,inventory_stock.xlsx,Inventory_Position,Inventory,SNAPSHOT,3000,31,warehouse_id|product_id|product_name|category_name|brand|unit_size|shelf_id|bin_id|zone_id|rack_id|shelf_level|slot_no|slot_capacity_units|opening_stock_units|received_units|current_stock_units|reserved_stock_units|available_stock_units|damaged_units|cost_price_rs|selling_price_rs|stock_value_rs|potential_sales_value_rs|margin_per_unit_rs|avg_weekly_demand_units|weeks_of_cover|target_stock_units|shortage_units|reorder_flag|stock_status|snapshot_date,,,2026-09-21T13:21:00.963529+00:00
SRC-009,inventory_stock.xlsx,Shelf_Master,Inventory,SNAPSHOT,600,10,warehouse_id|shelf_id|zone_id|rack_id|shelf_level|shelf_capacity_units|product_slots|used_units|free_units|space_utilization_pct,,,2026-09-21T13:21:01.060530+00:00
SRC-009,inventory_stock.xlsx,Product_Shelf_Assignment,Inventory,SNAPSHOT,3000,9,warehouse_id|product_id|shelf_id|bin_id|zone_id|rack_id|shelf_level|slot_no|slot_capacity_units,,,2026-09-21T13:21:01.452668+00:00
SRC-011,supplier_inventory.xlsx,Supplier_Master,Supplier,MASTER|BRIDGE,200,19,supplier_id|supplier_name|supplier_type_id|supplier_type_name|location_id|location_name|city|supplier_latitude|supplier_longitude|product_category_scope|minimum_order_qty_units|max_order_qty_units|max_ship_qty_at_once_units|supplier_storage_capacity_units|vehicle_type|vehicle_count|vehicle_load_capacity_units|lead_time_days|location_note,,,2026-09-21T13:21:01.518754+00:00
SRC-011,supplier_inventory.xlsx,Area_Master,Supplier,MASTER|BRIDGE,40,5,location_id|location_name|city|location_latitude|location_longitude,,,2026-09-21T13:21:01.542224+00:00
SRC-011,supplier_inventory.xlsx,Area_Supplier_Options,Supplier,MASTER|BRIDGE,200,10,location_id|location_name|supplier_id|supplier_type_id|supplier_type_name|supplier_latitude|supplier_longitude|distance_from_location_center_km|supplier_option_rank|service_available_flag,,,2026-09-21T13:21:01.576941+00:00
SRC-011,supplier_inventory.xlsx,Supplier_Product_Catalog,Supplier,MASTER|BRIDGE,8000,13,supplier_product_key|supplier_id|supplier_type_id|supplier_type_name|product_supplied_id|product_name|category_code|category_name|unit_type|supplier_cost_price_rs|supplied_unit_size|supply_status|_unnamed_12,,,2026-09-21T13:21:02.941586+00:00
SRC-012,warehouses.xlsx,warehouse,Warehouse,MASTER,15,19,warehouse_id|warehouse_name|area|city|latitude|longitude|capacity_units|weekday_opening|weekday_closing|weekend_opening|weekend_closing|daily_dispatch_capacity_units|service_radius_km|cycle_count|bike_count|scooter_count|electric_scooter_count|auto_count|total_vehicle_count,,,2026-09-21T13:21:02.987833+00:00
SRC-013,final_warehouse_dataset_kolkata.xlsx,warehouse,Warehouse,MASTER|SUPPORTING,15,15,warehouse_id|warehouse_name|area|city|latitude|longitude|x_coordinate|y_coordinate|capacity_units|storage_type|weekday_opening|weekday_closing|weekend_opening|weekend_closing|status,,,2026-09-21T13:21:02.998963+00:00
