category_code,category_name,product_count,_row_id,_source_file,_source_sheet,_staged_at
ICE,Ice Cream & Frozen Desserts,10,1,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
CHO,Chocolates & Confectionery,10,2,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
SNK,Chips & Namkeen,10,3,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
BEV,Soft Drinks & Beverages,10,4,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
DAI,Dairy & Milk Products,10,5,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
BAK,Bread & Bakery,10,6,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
STP,Rice & Staples,10,7,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
FLO,"Flour, Atta & Baking Essentials",10,8,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
DAL,Pulses & Dal,10,9,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
OIL,Cooking Oil & Ghee,10,10,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
FRT,Fresh Fruits,10,11,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
VEG,Fresh Vegetables,10,12,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
BIS,Biscuits & Cookies,10,13,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
TEA,Tea & Coffee,10,14,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
PCR,Personal Care,10,15,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
ORL,Oral Care,10,16,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
CLN,Home Cleaning,10,17,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
HOU,Household Essentials,10,18,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
INS,Instant & Packaged Foods,10,19,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
BAB,Baby Care & Family Care,10,20,Final product list.xlsx,category_summary,2026-09-23T17:43:31.849070+00:00
