festival_event,event_date,year,_row_id,_source_file,_source_sheet,_staged_at
Saraswati Puja,2024-02-14,2024,1,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Eid-Ul-Fitr,2024-04-11,2024,2,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Poila Boishakh / Bengali New Year,2024-04-14,2024,3,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Rath Yatra,2024-07-07,2024,4,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Janmashtami,2024-08-26,2024,5,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Ganesh Chaturthi,2024-09-07,2024,6,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2024-10-07,2024,7,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2024-10-08,2024,8,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2024-10-09,2024,9,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2024-10-10,2024,10,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2024-10-11,2024,11,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja / Dashami,2024-10-12,2024,12,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Lakshmi Puja,2024-10-16,2024,13,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Kali Puja / Diwali,2024-10-31,2024,14,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Chhat Puja,2024-11-07,2024,15,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Christmas,2024-12-25,2024,16,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Saraswati Puja,2025-02-03,2025,17,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Doljatra / Holi,2025-03-14,2025,18,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Eid-Ul-Fitr,2025-03-31,2025,19,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Poila Boishakh / Bengali New Year,2025-04-15,2025,20,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Rath Yatra,2025-06-27,2025,21,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Janmashtami,2025-08-15,2025,22,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Ganesh Chaturthi,2025-08-27,2025,23,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Vishwakarma Puja,2025-09-17,2025,24,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2025-09-26,2025,25,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2025-09-27,2025,26,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2025-09-28,2025,27,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2025-09-29,2025,28,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2025-09-30,2025,29,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja,2025-10-01,2025,30,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Durga Puja / Dashami,2025-10-02,2025,31,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Lakshmi Puja,2025-10-06,2025,32,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Kali Puja / Diwali,2025-10-20,2025,33,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Bhratridwitiya,2025-10-23,2025,34,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Chhat Puja,2025-10-27,2025,35,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
Christmas,2025-12-25,2025,36,festival_calendar.csv,default,2026-09-21T14:25:30.977573+00:00
