warehouse_id,shelf_id,zone_id,rack_id,shelf_level,shelf_capacity_units,product_slots,used_units,free_units,space_utilization_pct,_row_id,_source_file,_source_sheet,_staged_at
WH-KOL-001,WH-KOL-001-Z01-R01-S01,Z01,R01,S01,1000,5,410,590,41.0,1,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R01-S02,Z01,R01,S02,1000,5,442,558,44.2,2,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R01-S03,Z01,R01,S03,1000,5,229,771,22.9,3,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R01-S04,Z01,R01,S04,1000,5,260,740,26.0,4,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R01-S05,Z01,R01,S05,1000,5,382,618,38.2,5,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R02-S01,Z01,R02,S01,1000,5,464,536,46.4,6,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R02-S02,Z01,R02,S02,1000,5,523,477,52.3,7,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R02-S03,Z01,R02,S03,1000,5,418,582,41.8,8,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R02-S04,Z01,R02,S04,1000,5,393,607,39.3,9,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R02-S05,Z01,R02,S05,1000,5,353,647,35.3,10,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R01-S01,Z02,R01,S01,1000,5,322,678,32.2,11,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R01-S02,Z02,R01,S02,1000,5,260,740,26.0,12,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R01-S03,Z02,R01,S03,1000,5,236,764,23.6,13,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R01-S04,Z02,R01,S04,1000,5,271,729,27.1,14,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R01-S05,Z02,R01,S05,1000,5,259,741,25.9,15,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R02-S01,Z02,R02,S01,1000,5,251,749,25.1,16,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R02-S02,Z02,R02,S02,1000,5,253,747,25.3,17,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R02-S03,Z02,R02,S03,1000,5,232,768,23.2,18,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R02-S04,Z02,R02,S04,1000,5,244,756,24.4,19,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R02-S05,Z02,R02,S05,1000,5,260,740,26.0,20,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R01-S01,Z03,R01,S01,1000,5,278,722,27.8,21,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R01-S02,Z03,R01,S02,1000,5,283,717,28.3,22,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R01-S03,Z03,R01,S03,1000,5,273,727,27.3,23,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R01-S04,Z03,R01,S04,1000,5,340,660,34.0,24,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R01-S05,Z03,R01,S05,1000,5,290,710,29.0,25,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R02-S01,Z03,R02,S01,1000,5,281,719,28.1,26,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R02-S02,Z03,R02,S02,1000,5,373,627,37.3,27,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R02-S03,Z03,R02,S03,1000,5,405,595,40.5,28,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R02-S04,Z03,R02,S04,1000,5,274,726,27.4,29,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R02-S05,Z03,R02,S05,1000,5,252,748,25.2,30,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R01-S01,Z04,R01,S01,1000,5,240,760,24.0,31,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R01-S02,Z04,R01,S02,1000,5,246,754,24.6,32,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R01-S03,Z04,R01,S03,1000,5,225,775,22.5,33,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R01-S04,Z04,R01,S04,1000,5,252,748,25.2,34,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R01-S05,Z04,R01,S05,1000,5,233,767,23.3,35,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R02-S01,Z04,R02,S01,1000,5,234,766,23.4,36,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R02-S02,Z04,R02,S02,1000,5,360,640,36.0,37,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R02-S03,Z04,R02,S03,1000,5,438,562,43.8,38,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R02-S04,Z04,R02,S04,1000,5,270,730,27.0,39,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R02-S05,Z04,R02,S05,1000,5,261,739,26.1,40,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R01-S01,Z01,R01,S01,1000,5,325,675,32.5,41,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R01-S02,Z01,R01,S02,1000,5,313,687,31.3,42,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R01-S03,Z01,R01,S03,1000,5,193,807,19.3,43,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R01-S04,Z01,R01,S04,1000,5,230,770,23.0,44,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R01-S05,Z01,R01,S05,1000,5,293,707,29.3,45,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R02-S01,Z01,R02,S01,1000,5,310,690,31.0,46,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R02-S02,Z01,R02,S02,1000,5,410,590,41.0,47,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R02-S03,Z01,R02,S03,1000,5,351,649,35.1,48,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R02-S04,Z01,R02,S04,1000,5,352,648,35.2,49,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R02-S05,Z01,R02,S05,1000,5,267,733,26.7,50,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R01-S01,Z02,R01,S01,1000,5,255,745,25.5,51,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R01-S02,Z02,R01,S02,1000,5,213,787,21.3,52,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R01-S03,Z02,R01,S03,1000,5,229,771,22.9,53,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R01-S04,Z02,R01,S04,1000,5,212,788,21.2,54,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R01-S05,Z02,R01,S05,1000,5,242,758,24.2,55,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R02-S01,Z02,R02,S01,1000,5,204,796,20.4,56,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R02-S02,Z02,R02,S02,1000,5,198,802,19.8,57,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R02-S03,Z02,R02,S03,1000,5,216,784,21.6,58,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R02-S04,Z02,R02,S04,1000,5,212,788,21.2,59,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R02-S05,Z02,R02,S05,1000,5,192,808,19.2,60,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R01-S01,Z03,R01,S01,1000,5,206,794,20.6,61,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R01-S02,Z03,R01,S02,1000,5,207,793,20.7,62,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R01-S03,Z03,R01,S03,1000,5,217,783,21.7,63,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R01-S04,Z03,R01,S04,1000,5,238,762,23.8,64,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R01-S05,Z03,R01,S05,1000,5,217,783,21.7,65,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R02-S01,Z03,R02,S01,1000,5,241,759,24.1,66,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R02-S02,Z03,R02,S02,1000,5,358,642,35.8,67,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R02-S03,Z03,R02,S03,1000,5,367,633,36.7,68,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R02-S04,Z03,R02,S04,1000,5,225,775,22.5,69,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R02-S05,Z03,R02,S05,1000,5,201,799,20.1,70,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R01-S01,Z04,R01,S01,1000,5,212,788,21.2,71,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R01-S02,Z04,R01,S02,1000,5,208,792,20.8,72,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R01-S03,Z04,R01,S03,1000,5,189,811,18.9,73,inventory_stock.xlsx,Shelf_Master,2026-09-21T14:25:30.977573+00:00
