warehouse_id,product_id,product_name,category_name,shelf_id,current_stock_units,available_stock_units,cost_price_rs,selling_price_rs,margin_per_unit_rs,stock_cost_value_rs,available_sales_value_rs,gross_margin_potential_rs,snapshot_date,_row_id,_source_file,_source_sheet,_staged_at
WH-KOL-001,ICE-001,Amul Vanilla Ice Cream,Ice Cream & Frozen Desserts,WH-KOL-001-Z01-R01-S01,84,77,101.6,116.8,15.2,,,,2026-08-31,1,inventory_stock.xlsx,Inventory_Valuation,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-002,Amul Chocolate Ice Cream,Ice Cream & Frozen Desserts,WH-KOL-001-Z01-R01-S01,104,95,101.6,116.8,15.2,,,,2026-08-31,2,inventory_stock.xlsx,Inventory_Valuation,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-003,Kwality Wall's Cornetto,Ice Cream & Frozen Desserts,WH-KOL-001-Z01-R01-S01,66,63,135.4,155.6,20.2,,,,2026-08-31,3,inventory_stock.xlsx,Inventory_Valuation,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-004,Kwality Wall's Magnum Classic,Ice Cream & Frozen Desserts,WH-KOL-001-Z01-R01-S01,81,76,220.0,253.2,33.2,,,,2026-08-31,4,inventory_stock.xlsx,Inventory_Valuation,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-005,Havmor Butterscotch Ice Cream,Ice Cream & Frozen Desserts,WH-KOL-001-Z01-R01-S01,75,72,143.8,165.2,21.4,,,,2026-08-31,5,inventory_stock.xlsx,Inventory_Valuation,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-006,Havmor Mango Ice Cream,Ice Cream & Frozen Desserts,WH-KOL-001-Z01-R01-S02,94,89,143.8,165.2,21.4,,,,2026-08-31,6,inventory_stock.xlsx,Inventory_Valuation,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-007,Vadilal Kesar Pista Ice Cream,Ice Cream & Frozen Desserts,WH-KOL-001-Z01-R01-S02,96,92,126.8,146.0,19.2,,,,2026-08-31,7,inventory_stock.xlsx,Inventory_Valuation,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-008,Naturals Tender Coconut Ice Cream,Ice Cream & Frozen Desserts,WH-KOL-001-Z01-R01-S02,87,81,186.2,214.2,28.0,,,,2026-08-31,8,inventory_stock.xlsx,Inventory_Valuation,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-009,Mother Dairy Strawberry Ice Cream,Ice Cream & Frozen Desserts,WH-KOL-001-Z01-R01-S02,77,73,122.8,141.4,18.6,,,,2026-08-31,9,inventory_stock.xlsx,Inventory_Valuation,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-010,Amul Rajbhog Ice Cream,Ice Cream & Frozen Desserts,WH-KOL-001-Z01-R01-S02,88,81,101.6,116.8,15.2,,,,2026-08-31,10,inventory_stock.xlsx,Inventory_Valuation,2026-09-21T14:25:30.977573+00:00
