location_id,region_of_kolkata,_row_id,_source_file,_source_sheet,_staged_at
KOL-LOC-001,Lake Gardens,1,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-002,Jadavpur,2,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-003,Dhakuria,3,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-004,Gariahat,4,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-005,Ballygunge,5,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-006,Jodhpur Park,6,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-007,Tollygunge,7,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-008,Golf Green,8,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-009,Garia,9,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-010,Kasba,10,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-011,Mukundapur,11,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-012,Santoshpur,12,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-013,New Alipore,13,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-014,Behala,14,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-015,Chetla,15,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-016,Alipore,16,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-017,Kalighat,17,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-018,Bhawanipore,18,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-019,Park Street,19,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-020,Esplanade,20,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-021,Entally,21,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-022,Sealdah,22,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-023,Tangra,23,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-024,Topsia,24,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-025,Beliaghata,25,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-026,Maniktala,26,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-027,Kankurgachi,27,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-028,Ultadanga,28,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-029,Lake Town,29,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-030,Dum Dum,30,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-031,Nagerbazar,31,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-032,Shyambazar,32,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-033,Salt Lake,33,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-034,Sector V,34,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-035,New Town,35,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-036,Rajarhat,36,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-037,Anandapur,37,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-038,Patuli,38,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-039,Nayabad,39,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
KOL-LOC-040,Chak Garia,40,locations.csv.csv,default,2026-09-23T17:43:31.849070+00:00
