demand_id,week_start_date,week_end_date,year,week_number,location_id,region_of_kolkata,demand_rank,product_id,product_name,category_name,brand,unit_size,weekday_weekend,weekday_units_sold,weekend_units_sold,units_sold,avg_selling_price_rs,promotion_flag,discount_pct,holiday_flag,festival_event,season,temperature_c,rainfall_mm,humidity_pct,weather_condition,stockout_flag,forecast_target_start,forecast_target_end,next_week_demand_target_units,data_source,recorded_at,region_week_key,region_product_week_key,assortment_size,rank_scope,rank_basis,selling_unit_workbook,selling_unit_sheet,selling_unit_source_row,selling_unit_lookup_hint,reference_layer,anchor_status,source_file,standardized_at
DEM-0000001,2024-01-01,2024-01-07,2024,1,KOL-LOC-001,Lake Gardens,1,DAI-005,Mother Dairy Curd,Dairy & Milk Products,Mother Dairy,500 g,Weekday,111,35,146,52.79,0,0,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,2024-01-08,2024-01-14,152,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-001_20240101,KOL-LOC-001_20240101_DAI-005,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,3,'W001_2024-01-01'!A3,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
DEM-0000002,2024-01-01,2024-01-07,2024,1,KOL-LOC-001,Lake Gardens,2,TEA-009,Bru Instant Coffee,Tea & Coffee,Bru,100 g,Weekday,75,23,98,273.6,0,0,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,2024-01-08,2024-01-14,110,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-001_20240101,KOL-LOC-001_20240101_TEA-009,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,4,'W001_2024-01-01'!A4,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
DEM-0000003,2024-01-01,2024-01-07,2024,1,KOL-LOC-001,Lake Gardens,3,TEA-002,Tata Tea Premium,Tea & Coffee,Tata Tea,500 g,Weekday,71,23,94,293.38,0,0,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,2024-01-08,2024-01-14,97,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-001_20240101,KOL-LOC-001_20240101_TEA-002,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,5,'W001_2024-01-01'!A5,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
DEM-0000004,2024-01-01,2024-01-07,2024,1,KOL-LOC-001,Lake Gardens,4,BEV-007,Frooti Mango,Soft Drinks & Beverages,Parle Agro,500 ml,Weekday,66,20,86,38.36,0,0,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,2024-01-08,2024-01-14,84,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-001_20240101,KOL-LOC-001_20240101_BEV-007,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,6,'W001_2024-01-01'!A6,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
DEM-0000005,2024-01-01,2024-01-07,2024,1,KOL-LOC-001,Lake Gardens,5,INS-008,Kellogg's Corn Flakes,Instant & Packaged Foods,Kellogg's,250 g,Weekday,62,21,83,78.95,0,0,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,2024-01-08,2024-01-14,72,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-001_20240101,KOL-LOC-001_20240101_INS-008,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,7,'W001_2024-01-01'!A7,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
DEM-0000006,2024-01-01,2024-01-07,2024,1,KOL-LOC-002,Jadavpur,1,TEA-004,Brooke Bond Taj Mahal,Tea & Coffee,Brooke Bond,1 kg,Weekday,93,36,129,567.05,0,0,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,2024-01-08,2024-01-14,124,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-002_20240101,KOL-LOC-002_20240101_TEA-004,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,203,'W001_2024-01-01'!A203,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
DEM-0000007,2024-01-01,2024-01-07,2024,1,KOL-LOC-002,Jadavpur,2,TEA-001,Tata Tea Gold,Tea & Coffee,Tata Tea,1 kg,Weekday,94,35,129,534.5,0,0,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,2024-01-08,2024-01-14,121,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-002_20240101,KOL-LOC-002_20240101_TEA-001,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,204,'W001_2024-01-01'!A204,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
DEM-0000008,2024-01-01,2024-01-07,2024,1,KOL-LOC-002,Jadavpur,3,TEA-009,Bru Instant Coffee,Tea & Coffee,Bru,250 g,Weekday,98,28,126,649.69,0,0,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,2024-01-08,2024-01-14,121,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-002_20240101,KOL-LOC-002_20240101_TEA-009,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,205,'W001_2024-01-01'!A205,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
DEM-0000009,1970-01-01,1970-01-01,2024,1,KOL-LOC-002,Jadavpur,4,TEA-002,Tata Tea Premium,Tea & Coffee,Tata Tea,500 g,Weekday,92,30,122,292.64,0,0,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,1970-01-01,1970-01-01,133,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-002_20240101,KOL-LOC-002_20240101_TEA-002,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,206,'W001_2024-01-01'!A206,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
DEM-0000010,1970-01-01,1970-01-01,2024,1,KOL-LOC-002,Jadavpur,5,DAI-002,Amul Taaza Toned Milk,Dairy & Milk Products,Amul,200 ml,Weekday,89,28,117,17.04,1,15,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,1970-01-01,1970-01-01,136,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-002_20240101,KOL-LOC-002_20240101_DAI-002,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,207,'W001_2024-01-01'!A207,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
DEM-0000011,1970-01-01,1970-01-01,2024,1,KOL-LOC-003,Dhakuria,1,BEV-004,Limca,Soft Drinks & Beverages,Coca-Cola,750 ml,Weekday,83,28,111,61.03,0,0,0,,Winter,18.6,12.9,56.8,Clear/Partly Cloudy,0,1970-01-01,1970-01-01,111,SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL,46279.69444444445,KOL-LOC-003_20240101,KOL-LOC-003_20240101_BEV-004,200,region-week over all 200 products,units_sold DESC; sales_value_rs DESC; product_id ASC,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx,W001_2024-01-01,403,'W001_2024-01-01'!A403,regional_selling_unit_reference,observed_top5_anchor,Demand of last 2 years.xlsx/demand_training_data,2026-09-21T14:25:30.977573+00:00
