warehouse_id,product_id,product_name,category_name,brand,unit_size,shelf_id,bin_id,zone_id,rack_id,shelf_level,slot_no,slot_capacity_units,opening_stock_units,received_units,current_stock_units,reserved_stock_units,available_stock_units,damaged_units,cost_price_rs,selling_price_rs,stock_value_rs,potential_sales_value_rs,margin_per_unit_rs,avg_weekly_demand_units,weeks_of_cover,target_stock_units,shortage_units,reorder_flag,stock_status,snapshot_date,inventory_risk,weeks_of_cover_calc,reorder_flag_calc,stock_cost_value_rs,available_sales_value_rs,source_file,standardized_at
WH-KOL-001,ICE-001,Amul Vanilla Ice Cream,Ice Cream & Frozen Desserts,Amul,80 ml,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B01,Z01,R01,S01,1,200,94,46,84,7,77,0,101.6,116.8,,,15.2,67.3,,134.6,57.6,,Healthy,2026-08-31,NORMAL,1.14,1,8534.4,8993.6,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-002,Amul Chocolate Ice Cream,Ice Cream & Frozen Desserts,Amul,80 ml,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B02,Z01,R01,S01,2,200,118,45,104,9,95,0,101.6,116.8,,,15.2,87.3,,174.6,79.6,,Healthy,2026-08-31,NORMAL,1.09,1,10566.4,11096.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-003,Kwality Wall's Cornetto,Ice Cream & Frozen Desserts,Kwality Wall's,80 ml,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B03,Z01,R01,S01,3,200,86,0,66,3,63,0,135.4,155.6,,,20.2,85.4,,170.8,107.8,,Healthy,2026-08-31,NORMAL,0.74,1,8936.4,9802.8,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-004,Kwality Wall's Magnum Classic,Ice Cream & Frozen Desserts,Kwality Wall's,80 ml,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B04,Z01,R01,S01,4,200,96,7,81,5,76,0,220.0,253.2,,,33.2,86.3,,172.6,96.6,,Healthy,2026-08-31,NORMAL,0.88,1,17820.0,19243.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-005,Havmor Butterscotch Ice Cream,Ice Cream & Frozen Desserts,Havmor,80 ml,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B05,Z01,R01,S01,5,200,79,19,75,3,72,0,143.8,165.2,,,21.4,100.1,,200.2,128.2,,Healthy,2026-08-31,NORMAL,0.72,1,10785.0,11894.4,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-006,Havmor Mango Ice Cream,Ice Cream & Frozen Desserts,Havmor,80 ml,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B01,Z01,R01,S02,1,200,98,10,94,5,89,0,143.8,165.2,,,21.4,79.1,,158.2,69.2,,Healthy,2026-08-31,NORMAL,1.13,1,13517.2,14702.8,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-007,Vadilal Kesar Pista Ice Cream,Ice Cream & Frozen Desserts,Vadilal,80 ml,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B02,Z01,R01,S02,2,200,106,13,96,4,92,0,126.8,146.0,,,19.2,116.5,,233.0,141.0,,Healthy,2026-08-31,NORMAL,0.79,1,12172.8,13432.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-008,Naturals Tender Coconut Ice Cream,Ice Cream & Frozen Desserts,Naturals,80 ml,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B03,Z01,R01,S02,3,200,91,32,87,6,81,0,186.2,214.2,,,28.0,74.6,,149.2,68.2,,Healthy,2026-08-31,NORMAL,1.09,1,16199.4,17350.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-009,Mother Dairy Strawberry Ice Cream,Ice Cream & Frozen Desserts,Mother Dairy,80 ml,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B04,Z01,R01,S02,4,200,104,1,77,4,73,0,122.8,141.4,,,18.6,95.4,,190.8,117.8,,Healthy,2026-08-31,NORMAL,0.77,1,9455.6,10322.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-010,Amul Rajbhog Ice Cream,Ice Cream & Frozen Desserts,Amul,80 ml,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B05,Z01,R01,S02,5,200,88,50,88,7,81,0,101.6,116.8,,,15.2,60.5,,121.0,40.0,,Healthy,2026-08-31,NORMAL,1.34,1,8940.8,9460.8,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-001,Cadbury Dairy Milk,Chocolates & Confectionery,Cadbury,20 g,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B01,Z01,R01,S03,1,200,64,23,40,3,37,0,62.0,71.4,,,9.4,7.0,,14.0,0.0,,Healthy,2026-08-31,NORMAL,5.29,0,2480.0,2641.8,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-002,Cadbury 5 Star,Chocolates & Confectionery,Cadbury,20 g,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B02,Z01,R01,S03,2,200,63,39,42,3,39,0,62.0,71.4,,,9.4,6.4,,12.8,0.0,,Healthy,2026-08-31,NORMAL,6.09,0,2604.0,2784.6,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-003,Cadbury Silk,Chocolates & Confectionery,Cadbury,20 g,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B03,Z01,R01,S03,3,200,64,8,52,3,49,0,91.4,105.2,,,13.8,7.6,,15.2,0.0,,Healthy,2026-08-31,NORMAL,6.45,0,4752.8,5154.8,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
