warehouse_id,shelf_id,zone_id,rack_id,shelf_level,shelf_capacity_units,product_slots,used_units,free_units,space_utilization_pct,source_file,standardized_at
WH-KOL-001,WH-KOL-001-Z01-R01-S01,Z01,R01,S01,1000,5,410,590,41.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R01-S02,Z01,R01,S02,1000,5,442,558,44.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R01-S03,Z01,R01,S03,1000,5,229,771,22.9,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R01-S04,Z01,R01,S04,1000,5,260,740,26.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R01-S05,Z01,R01,S05,1000,5,382,618,38.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R02-S01,Z01,R02,S01,1000,5,464,536,46.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R02-S02,Z01,R02,S02,1000,5,523,477,52.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R02-S03,Z01,R02,S03,1000,5,418,582,41.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R02-S04,Z01,R02,S04,1000,5,393,607,39.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z01-R02-S05,Z01,R02,S05,1000,5,353,647,35.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R01-S01,Z02,R01,S01,1000,5,322,678,32.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R01-S02,Z02,R01,S02,1000,5,260,740,26.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R01-S03,Z02,R01,S03,1000,5,236,764,23.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R01-S04,Z02,R01,S04,1000,5,271,729,27.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R01-S05,Z02,R01,S05,1000,5,259,741,25.9,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R02-S01,Z02,R02,S01,1000,5,251,749,25.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R02-S02,Z02,R02,S02,1000,5,253,747,25.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R02-S03,Z02,R02,S03,1000,5,232,768,23.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
