location_id,region_of_kolkata,location_name,city,latitude,longitude,source_file,standardized_at
KOL-LOC-001,Lake Gardens,Lake Gardens,Kolkata,22.5065,88.3554,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
KOL-LOC-002,Jadavpur,Jadavpur,Kolkata,22.4993,88.3708,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
KOL-LOC-003,Dhakuria,Dhakuria,Kolkata,22.5133,88.3657,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
KOL-LOC-004,Gariahat,Gariahat,Kolkata,22.5174,88.365,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
KOL-LOC-005,Ballygunge,Ballygunge,Kolkata,22.5252,88.365,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
KOL-LOC-006,Jodhpur Park,Jodhpur Park,Kolkata,22.5004,88.3692,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
KOL-LOC-007,Tollygunge,Tollygunge,Kolkata,22.4955,88.3488,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
KOL-LOC-008,Golf Green,Golf Green,Kolkata,22.4856,88.3481,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
KOL-LOC-009,Garia,Garia,Kolkata,22.465,88.3886,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
KOL-LOC-010,Kasba,Kasba,Kolkata,22.5215,88.386,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
KOL-LOC-011,Mukundapur,Mukundapur,Kolkata,22.4931,88.409,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T14:25:30.977573+00:00
