product_id,category_code,category_name,product_name,brand,quality_level,unit_type,canonical_source,source_file,standardized_at
ICE-001,ICE,Ice Cream & Frozen Desserts,Amul Vanilla Ice Cream,Amul,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
ICE-002,ICE,Ice Cream & Frozen Desserts,Amul Chocolate Ice Cream,Amul,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
ICE-003,ICE,Ice Cream & Frozen Desserts,Kwality Wall's Cornetto,Kwality Wall's,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
ICE-004,ICE,Ice Cream & Frozen Desserts,Kwality Wall's Magnum Classic,Kwality Wall's,Premium,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
ICE-005,ICE,Ice Cream & Frozen Desserts,Havmor Butterscotch Ice Cream,Havmor,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
ICE-006,ICE,Ice Cream & Frozen Desserts,Havmor Mango Ice Cream,Havmor,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
ICE-007,ICE,Ice Cream & Frozen Desserts,Vadilal Kesar Pista Ice Cream,Vadilal,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
ICE-008,ICE,Ice Cream & Frozen Desserts,Naturals Tender Coconut Ice Cream,Naturals,Premium,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
ICE-009,ICE,Ice Cream & Frozen Desserts,Mother Dairy Strawberry Ice Cream,Mother Dairy,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
ICE-010,ICE,Ice Cream & Frozen Desserts,Amul Rajbhog Ice Cream,Amul,Premium,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
CHO-001,CHO,Chocolates & Confectionery,Cadbury Dairy Milk,Cadbury,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
CHO-002,CHO,Chocolates & Confectionery,Cadbury 5 Star,Cadbury,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
CHO-003,CHO,Chocolates & Confectionery,Cadbury Silk,Cadbury,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
CHO-004,CHO,Chocolates & Confectionery,Cadbury Perk,Cadbury,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
CHO-005,CHO,Chocolates & Confectionery,Nestlé KitKat,Nestlé,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
CHO-006,CHO,Chocolates & Confectionery,Nestlé Munch,Nestlé,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
CHO-007,CHO,Chocolates & Confectionery,Amul Dark Chocolate,Amul,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
CHO-008,CHO,Chocolates & Confectionery,Ferrero Rocher,Ferrero,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
CHO-009,CHO,Chocolates & Confectionery,Cadbury Gems,Cadbury,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
CHO-010,CHO,Chocolates & Confectionery,Parle Melody Toffee Pack,Parle,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
SNK-001,SNK,Chips & Namkeen,Lay's Classic Salted,Lay's,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
SNK-002,SNK,Chips & Namkeen,Lay's Magic Masala,Lay's,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
SNK-003,SNK,Chips & Namkeen,Lay's Cream & Onion,Lay's,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
SNK-004,SNK,Chips & Namkeen,Bingo Original Style,Bingo,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
SNK-005,SNK,Chips & Namkeen,Kurkure Masala Munch,Kurkure,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
SNK-006,SNK,Chips & Namkeen,Haldiram's Aloo Bhujia,Haldiram's,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
SNK-007,SNK,Chips & Namkeen,Haldiram's Moong Dal,Haldiram's,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
SNK-008,SNK,Chips & Namkeen,Bikaji Bikaneri Bhujia,Bikaji,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
SNK-009,SNK,Chips & Namkeen,Uncle Chipps Plain Salted,Uncle Chipps,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
SNK-010,SNK,Chips & Namkeen,Balaji Wafers Masala,Balaji,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BEV-001,BEV,Soft Drinks & Beverages,Coca-Cola,Coca-Cola,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BEV-002,BEV,Soft Drinks & Beverages,Thums Up,Coca-Cola,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BEV-003,BEV,Soft Drinks & Beverages,Sprite,Coca-Cola,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BEV-004,BEV,Soft Drinks & Beverages,Limca,Coca-Cola,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BEV-005,BEV,Soft Drinks & Beverages,Fanta Orange,Coca-Cola,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BEV-006,BEV,Soft Drinks & Beverages,Maaza Mango,Coca-Cola,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BEV-007,BEV,Soft Drinks & Beverages,Frooti Mango,Parle Agro,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BEV-008,BEV,Soft Drinks & Beverages,Paper Boat Aam Panna,Paper Boat,Premium,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BEV-009,BEV,Soft Drinks & Beverages,Red Bull Energy Drink,Red Bull,Premium,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BEV-010,BEV,Soft Drinks & Beverages,Kinley Mineral Water,Kinley,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
DAI-001,DAI,Dairy & Milk Products,Amul Full Cream Milk,Amul,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
DAI-002,DAI,Dairy & Milk Products,Amul Taaza Toned Milk,Amul,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
DAI-003,DAI,Dairy & Milk Products,Mother Dairy Toned Milk,Mother Dairy,Standard,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
DAI-004,DAI,Dairy & Milk Products,Amul Masti Dahi,Amul,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
DAI-005,DAI,Dairy & Milk Products,Mother Dairy Curd,Mother Dairy,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
DAI-006,DAI,Dairy & Milk Products,Amul Butter,Amul,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
DAI-007,DAI,Dairy & Milk Products,Amul Paneer,Amul,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
DAI-008,DAI,Dairy & Milk Products,Amul Cheese Slices,Amul,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
DAI-009,DAI,Dairy & Milk Products,Epigamia Greek Yogurt,Epigamia,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
DAI-010,DAI,Dairy & Milk Products,Amul Fresh Cream,Amul,Premium,ml,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BAK-001,BAK,Bread & Bakery,Britannia White Bread,Britannia,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BAK-002,BAK,Bread & Bakery,Britannia Brown Bread,Britannia,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BAK-003,BAK,Bread & Bakery,Modern Milk Bread,Modern,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BAK-004,BAK,Bread & Bakery,Harvest Gold White Bread,Harvest Gold,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BAK-005,BAK,Bread & Bakery,Britannia Fruit Cake,Britannia,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BAK-006,BAK,Bread & Bakery,Monginis Chocolate Cake,Monginis,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BAK-007,BAK,Bread & Bakery,Monginis Cream Roll,Monginis,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BAK-008,BAK,Bread & Bakery,Modern Sandwich Bread,Modern,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BAK-009,BAK,Bread & Bakery,Britannia Croissant,Britannia,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
BAK-010,BAK,Bread & Bakery,Theobroma Brownie Box,Theobroma,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
STP-001,STP,Rice & Staples,India Gate Basmati Rice,India Gate,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
STP-002,STP,Rice & Staples,Daawat Basmati Rice,Daawat,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
STP-003,STP,Rice & Staples,Fortune Rozana Rice,Fortune,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
STP-004,STP,Rice & Staples,Gobindobhog Rice,Local Premium,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
STP-005,STP,Rice & Staples,India Gate Dubar Rice,India Gate,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
STP-006,STP,Rice & Staples,Daawat Sona Masuri Rice,Daawat,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
STP-007,STP,Rice & Staples,Lal Qilla Basmati Rice,Lal Qilla,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
STP-008,STP,Rice & Staples,Fortune Everyday Rice,Fortune,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
STP-009,STP,Rice & Staples,Kohinoor Basmati Rice,Kohinoor,Premium,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
STP-010,STP,Rice & Staples,Miniket Rice,Local,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
FLO-001,FLO,"Flour, Atta & Baking Essentials",Aashirvaad Whole Wheat Atta,Aashirvaad,Standard,g,products.csv,products.csv (reconciled against Final product list.xlsx),2026-09-21T14:25:30.977573+00:00
