demand_id,week_start_date,week_end_date,year,week_number,location_id,region_of_kolkata,demand_rank,product_id,product_name,category_name,brand,unit_size,weekday_weekend,weekday_units_sold,weekend_units_sold,units_sold,avg_selling_price_rs,promotion_flag,discount_pct,holiday_flag,festival_event,season,temperature_c,rainfall_mm,humidity_pct,weather_condition,stockout_flag,forecast_target_start,forecast_target_end,next_week_demand_target_units,data_source,recorded_at,_unnamed_33,fact_source,pipeline_timestamp
DEM-0000001,2024-09-01,2024-09-07,2024,1,KOL-LOC-001,Lake Gardens,1,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,250 g,Weekday,75,25,100,46.67,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,99,SYNTHETIC_TRAINING,2026-09-14 10:41:01.162,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000002,2024-09-01,2024-09-07,2024,1,KOL-LOC-001,Lake Gardens,2,INS-008,Kellogg's Corn Flakes,Instant & Packaged Foods,Kellogg's,250 g,Weekday,72,24,96,80.24,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,92,SYNTHETIC_TRAINING,2026-09-14 10:41:01.162,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000003,2024-09-01,2024-09-07,2024,1,KOL-LOC-001,Lake Gardens,3,INS-009,Quaker Oats,Instant & Packaged Foods,Quaker,250 g,Weekday,76,25,101,84.33,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,100,SYNTHETIC_TRAINING,2026-09-14 10:41:01.162,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000004,2024-09-01,2024-09-07,2024,1,KOL-LOC-001,Lake Gardens,4,BEV-004,Limca,Soft Drinks & Beverages,Coca-Cola,750 ml,Weekday,73,34,107,61.21,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,101,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000005,2024-09-01,2024-09-07,2024,1,KOL-LOC-001,Lake Gardens,5,SNK-009,Uncle Chipps Plain Salted,Chips & Namkeen,Uncle Chipps,50 g,Weekday,44,20,64,17.48,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,60,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000006,2024-09-01,2024-09-07,2024,1,KOL-LOC-002,Jadavpur,1,INS-009,Quaker Oats,Instant & Packaged Foods,Quaker,50 g,Weekday,75,25,100,17.17,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,111,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000007,2024-09-01,2024-09-07,2024,1,KOL-LOC-002,Jadavpur,2,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,100 g,Weekday,84,28,112,20.64,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,107,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000008,2024-09-01,2024-09-07,2024,1,KOL-LOC-002,Jadavpur,3,INS-008,Kellogg's Corn Flakes,Instant & Packaged Foods,Kellogg's,100 g,Weekday,95,32,127,32.43,1,5,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,117,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000009,2024-09-01,2024-09-07,2024,1,KOL-LOC-002,Jadavpur,4,DAI-002,Amul Taaza Toned Milk,Dairy & Milk Products,Amul,400 ml,Weekday,64,21,85,36.67,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,86,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000010,2024-09-01,2024-09-07,2024,1,KOL-LOC-002,Jadavpur,5,INS-004,MTR Ready-to-Eat Upma,Instant & Packaged Foods,MTR,50 g,Weekday,63,21,84,16.3,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,76,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
