supplier_product_key,supplier_id,supplier_type_id,supplier_type_name,product_id,supplier_cost_price_rs,supplied_unit_size,supply_status,unmapped_col_10_quarantine,source_file,pipeline_timestamp
SUP-KOL-001-01_ICE-001,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-001,36,80 ml,Available,35.71,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_ICE-002,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-002,36,80 ml,Available,35.71,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_ICE-003,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-003,48,80 ml,Available,47.62,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_ICE-004,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-004,78,80 ml,Available,77.38,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_ICE-005,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-005,51,80 ml,Available,50.59,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_ICE-006,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-006,51,80 ml,Available,50.59,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_ICE-007,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-007,45,80 ml,Available,44.64,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_ICE-008,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-008,66,80 ml,Available,65.47,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_ICE-009,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-009,44,80 ml,Available,43.65,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_ICE-010,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-010,36,80 ml,Available,35.71,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_DAI-001,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-001,85,200 ml,Available,84.32,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_DAI-002,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-002,16,200 ml,Available,15.87,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_DAI-003,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-003,16,200 ml,Available,15.87,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_DAI-004,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-004,11,100 g,Available,10.91,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_DAI-005,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-005,10,100 g,Available,9.92,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_DAI-006,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-006,65,100 g,Available,64.48,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
