demand_id,location_id,product_id,week_start_date,next_week_demand_target_units,forecast_target_start
DEM-0001803,KOL-LOC-001,BEV-001,1970-01-01,120,1970-01-01
DEM-0012203,KOL-LOC-001,BEV-001,1970-01-01,94,1970-01-01
DEM-0012603,KOL-LOC-001,BEV-001,1970-01-01,74,1970-01-01
DEM-0013004,KOL-LOC-001,BEV-001,1970-01-01,175,1970-01-01
DEM-0013205,KOL-LOC-001,BEV-001,1970-01-01,217,1970-01-01
DEM-0013404,KOL-LOC-001,BEV-001,1970-01-01,128,1970-01-01
DEM-0013604,KOL-LOC-001,BEV-001,1970-01-01,205,1970-01-01
DEM-0013804,KOL-LOC-001,BEV-001,1970-01-01,126,1970-01-01
DEM-0014003,KOL-LOC-001,BEV-001,1970-01-01,92,1970-01-01
DEM-0014202,KOL-LOC-001,BEV-001,1970-01-01,126,1970-01-01
DEM-0014804,KOL-LOC-001,BEV-001,1970-01-01,145,1970-01-01
DEM-0015205,KOL-LOC-001,BEV-001,1970-01-01,136,1970-01-01
DEM-0018605,KOL-LOC-001,BEV-001,1970-01-01,101,1970-01-01
DEM-0019804,KOL-LOC-001,BEV-001,1970-01-01,53,1970-01-01
DEM-0002003,KOL-LOC-001,BEV-001,2024-03-10,136,2024-03-17
DEM-0002402,KOL-LOC-001,BEV-001,2024-03-24,128,2024-03-31
DEM-0002604,KOL-LOC-001,BEV-001,2024-03-31,149,2024-04-07
DEM-0002804,KOL-LOC-001,BEV-001,2024-04-07,156,2024-04-14
DEM-0003201,KOL-LOC-001,BEV-001,2024-04-21,160,2024-04-28
DEM-0003604,KOL-LOC-001,BEV-001,2024-05-05,132,2024-05-12
DEM-0003803,KOL-LOC-001,BEV-001,2024-05-12,153,2024-05-19
DEM-0004005,KOL-LOC-001,BEV-001,2024-05-19,162,2024-05-26
DEM-0004204,KOL-LOC-001,BEV-001,2024-05-26,151,2024-06-02
DEM-0005003,KOL-LOC-001,BEV-001,2024-06-23,169,2024-06-30
DEM-0006801,KOL-LOC-001,BEV-001,2024-08-25,128,2024-09-01
DEM-0008804,KOL-LOC-001,BEV-001,2024-11-03,149,2024-11-10
DEM-0009005,KOL-LOC-001,BEV-001,2024-11-10,98,2024-11-17
DEM-0009205,KOL-LOC-001,BEV-001,2024-11-17,63,2024-11-24
DEM-0022605,KOL-LOC-001,BEV-001,2026-03-01,65,2026-03-08
DEM-0022805,KOL-LOC-001,BEV-001,2026-03-08,140,2026-03-15
DEM-0023001,KOL-LOC-001,BEV-001,2026-03-15,204,2026-03-22
DEM-0023203,KOL-LOC-001,BEV-001,2026-03-22,91,2026-03-29
DEM-0024004,KOL-LOC-001,BEV-001,2026-04-19,169,2026-04-26
DEM-0024204,KOL-LOC-001,BEV-001,2026-04-26,140,2026-05-03
DEM-0024405,KOL-LOC-001,BEV-001,2026-05-03,158,2026-05-10
DEM-0024604,KOL-LOC-001,BEV-001,2026-05-10,151,2026-05-17
DEM-0025605,KOL-LOC-001,BEV-001,2026-06-14,110,2026-06-21
DEM-0025805,KOL-LOC-001,BEV-001,2026-06-21,56,2026-06-28
DEM-0023205,KOL-LOC-001,BEV-002,2026-03-22,137,2026-03-29
DEM-0012202,KOL-LOC-001,BEV-004,1970-01-01,132,1970-01-01
DEM-0012401,KOL-LOC-001,BEV-004,1970-01-01,102,1970-01-01
DEM-0012602,KOL-LOC-001,BEV-004,1970-01-01,114,1970-01-01
DEM-0012801,KOL-LOC-001,BEV-004,1970-01-01,149,1970-01-01
DEM-0013001,KOL-LOC-001,BEV-004,1970-01-01,197,1970-01-01
DEM-0013201,KOL-LOC-001,BEV-004,1970-01-01,141,1970-01-01
DEM-0013403,KOL-LOC-001,BEV-004,1970-01-01,147,1970-01-01
DEM-0013602,KOL-LOC-001,BEV-004,1970-01-01,182,1970-01-01
DEM-0013802,KOL-LOC-001,BEV-004,1970-01-01,147,1970-01-01
DEM-0014001,KOL-LOC-001,BEV-004,1970-01-01,101,1970-01-01
DEM-0014203,KOL-LOC-001,BEV-004,1970-01-01,170,1970-01-01
DEM-0014404,KOL-LOC-001,BEV-004,1970-01-01,106,1970-01-01
DEM-0014605,KOL-LOC-001,BEV-004,1970-01-01,100,1970-01-01
DEM-0015002,KOL-LOC-001,BEV-004,1970-01-01,145,1970-01-01
DEM-0015202,KOL-LOC-001,BEV-004,1970-01-01,118,1970-01-01
DEM-0015402,KOL-LOC-001,BEV-004,1970-01-01,80,1970-01-01
DEM-0015605,KOL-LOC-001,BEV-004,1970-01-01,87,1970-01-01
DEM-0016003,KOL-LOC-001,BEV-004,1970-01-01,95,1970-01-01
DEM-0017005,KOL-LOC-001,BEV-004,1970-01-01,66,1970-01-01
DEM-0018202,KOL-LOC-001,BEV-004,1970-01-01,199,1970-01-01
DEM-0018403,KOL-LOC-001,BEV-004,1970-01-01,119,1970-01-01
DEM-0018602,KOL-LOC-001,BEV-004,1970-01-01,119,1970-01-01
DEM-0019001,KOL-LOC-001,BEV-004,1970-01-01,175,1970-01-01
DEM-0019203,KOL-LOC-001,BEV-004,1970-01-01,93,1970-01-01
DEM-0019601,KOL-LOC-001,BEV-004,1970-01-01,59,1970-01-01
DEM-0002004,KOL-LOC-001,BEV-004,2024-03-10,120,2024-03-17
DEM-0002202,KOL-LOC-001,BEV-004,2024-03-17,144,2024-03-24
DEM-0002805,KOL-LOC-001,BEV-004,2024-04-07,147,2024-04-14
DEM-0003003,KOL-LOC-001,BEV-004,2024-04-14,179,2024-04-21
DEM-0003205,KOL-LOC-001,BEV-004,2024-04-21,132,2024-04-28
DEM-0003403,KOL-LOC-001,BEV-004,2024-04-28,153,2024-05-05
DEM-0003602,KOL-LOC-001,BEV-004,2024-05-05,145,2024-05-12
DEM-0003805,KOL-LOC-001,BEV-004,2024-05-12,144,2024-05-19
DEM-0004001,KOL-LOC-001,BEV-004,2024-05-19,166,2024-05-26
DEM-0004404,KOL-LOC-001,BEV-004,2024-06-02,152,2024-06-09
