festival_event,event_date,year,festival_id,week_start_date,festival_category,source_type,source_file,standardized_at,pipeline_timestamp
Saraswati Puja,2024-02-14,2024,FEST-001,2024-02-13,Hindu,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Eid-Ul-Fitr,2024-04-11,2024,FEST-002,2024-04-09,Islamic,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Poila Boishakh / Bengali New Year,2024-04-14,2024,FEST-003,2024-04-09,Cultural/New Year,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Rath Yatra,2024-07-07,2024,FEST-004,2024-07-02,Hindu,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Janmashtami,2024-08-26,2024,FEST-005,2024-08-20,Hindu,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Ganesh Chaturthi,2024-09-07,2024,FEST-006,2024-09-03,Hindu,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Durga Puja,2024-10-07,2024,FEST-007,2024-10-01,Hindu,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Durga Puja,2024-10-08,2024,FEST-008,2024-10-08,Hindu,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Durga Puja,2024-10-09,2024,FEST-009,2024-10-08,Hindu,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Durga Puja,2024-10-10,2024,FEST-010,2024-10-08,Hindu,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Durga Puja,2024-10-11,2024,FEST-011,2024-10-08,Hindu,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
Durga Puja / Dashami,2024-10-12,2024,FEST-012,2024-10-08,Hindu,SUPPLIED_REFERENCE,festival_calendar.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
