product_variant_id,product_id,variant_index,unit_size_raw,unit_size_value,unit_size_unit,normalized_quantity_value,normalized_quantity_unit,cost_price_rs,selling_price_rs,source_file,source_record,pipeline_timestamp
ICE-001-80ML,ICE-001,1,80 ml,80.0,ml,80.0,ml,36,41,products.csv,"product_id=ICE-001, unit_size_1",2026-09-21T13:22:09.034261+00:00
ICE-001-125ML,ICE-001,2,125 ml,125.0,ml,125.0,ml,52,60,products.csv,"product_id=ICE-001, unit_size_2",2026-09-21T13:22:09.034261+00:00
ICE-001-250ML,ICE-001,3,250 ml,250.0,ml,250.0,ml,82,94,products.csv,"product_id=ICE-001, unit_size_3",2026-09-21T13:22:09.034261+00:00
ICE-001-500ML,ICE-001,4,500 ml,500.0,ml,500.0,ml,120,138,products.csv,"product_id=ICE-001, unit_size_4",2026-09-21T13:22:09.034261+00:00
ICE-001-1L,ICE-001,5,1 L,1.0,l,1000.0,ml,218,251,products.csv,"product_id=ICE-001, unit_size_5",2026-09-21T13:22:09.034261+00:00
ICE-002-80ML,ICE-002,1,80 ml,80.0,ml,80.0,ml,36,41,products.csv,"product_id=ICE-002, unit_size_1",2026-09-21T13:22:09.034261+00:00
ICE-002-125ML,ICE-002,2,125 ml,125.0,ml,125.0,ml,52,60,products.csv,"product_id=ICE-002, unit_size_2",2026-09-21T13:22:09.034261+00:00
ICE-002-250ML,ICE-002,3,250 ml,250.0,ml,250.0,ml,82,94,products.csv,"product_id=ICE-002, unit_size_3",2026-09-21T13:22:09.034261+00:00
ICE-002-500ML,ICE-002,4,500 ml,500.0,ml,500.0,ml,120,138,products.csv,"product_id=ICE-002, unit_size_4",2026-09-21T13:22:09.034261+00:00
ICE-002-1L,ICE-002,5,1 L,1.0,l,1000.0,ml,218,251,products.csv,"product_id=ICE-002, unit_size_5",2026-09-21T13:22:09.034261+00:00
ICE-003-80ML,ICE-003,1,80 ml,80.0,ml,80.0,ml,48,55,products.csv,"product_id=ICE-003, unit_size_1",2026-09-21T13:22:09.034261+00:00
ICE-003-125ML,ICE-003,2,125 ml,125.0,ml,125.0,ml,69,79,products.csv,"product_id=ICE-003, unit_size_2",2026-09-21T13:22:09.034261+00:00
ICE-003-250ML,ICE-003,3,250 ml,250.0,ml,250.0,ml,109,125,products.csv,"product_id=ICE-003, unit_size_3",2026-09-21T13:22:09.034261+00:00
ICE-003-500ML,ICE-003,4,500 ml,500.0,ml,500.0,ml,160,184,products.csv,"product_id=ICE-003, unit_size_4",2026-09-21T13:22:09.034261+00:00
ICE-003-1L,ICE-003,5,1 L,1.0,l,1000.0,ml,291,335,products.csv,"product_id=ICE-003, unit_size_5",2026-09-21T13:22:09.034261+00:00
ICE-004-80ML,ICE-004,1,80 ml,80.0,ml,80.0,ml,78,90,products.csv,"product_id=ICE-004, unit_size_1",2026-09-21T13:22:09.034261+00:00
