week_start_date,week_end_date,year,season,temperature_mean_c,temperature_max_c,temperature_min_c,rainfall_mm,humidity_pct,weather_condition,interval_days,weather_data_type,source_file,standardized_at,pipeline_timestamp
2024-01-01,2024-01-07,2024,Winter,18.6,22.3,16.1,12.9,56.8,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-01-08,2024-01-14,2024,Winter,19.4,20.8,17.3,4.5,62.3,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-01-15,2024-01-21,2024,Winter,19.0,21.2,16.3,2.1,65.3,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-01-22,2024-01-28,2024,Winter,19.4,22.1,16.9,5.0,56.1,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-01-29,2024-02-04,2024,Winter,21.0,24.4,16.6,3.5,56.5,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-02-05,2024-02-11,2024,Winter,23.1,25.1,21.7,10.5,57.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-02-12,2024-02-18,2024,Winter,23.5,26.1,21.5,5.8,64.1,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-02-19,2024-02-25,2024,Winter,23.2,25.5,20.9,9.1,66.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-02-26,2024-03-03,2024,Winter,25.3,28.0,23.7,16.3,55.4,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-03-04,2024-03-10,2024,Spring,26.7,29.1,24.7,10.6,66.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-03-11,2024-03-17,2024,Spring,27.0,28.6,24.8,4.8,66.2,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-03-18,2024-03-24,2024,Spring,27.9,28.9,26.9,11.2,66.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-03-25,2024-03-31,2024,Spring,27.5,29.7,23.4,2.5,70.7,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-04-01,2024-04-07,2024,Spring,33.4,35.2,29.3,16.0,61.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-04-08,2024-04-14,2024,Spring,33.6,35.2,31.4,9.6,71.8,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-04-15,2024-04-21,2024,Spring,32.5,34.2,31.2,12.9,68.0,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-04-22,2024-04-28,2024,Spring,32.8,36.3,29.6,5.7,61.0,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-04-29,2024-05-05,2024,Summer,31.5,33.9,28.3,13.1,69.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-05-06,2024-05-12,2024,Summer,29.7,32.4,26.3,5.3,62.1,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-05-13,2024-05-19,2024,Summer,31.0,35.0,28.2,1.9,62.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-05-20,2024-05-26,2024,Summer,31.1,34.5,28.5,9.6,74.7,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-05-27,2024-06-02,2024,Summer,30.3,31.5,28.0,16.1,66.0,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-06-03,2024-06-09,2024,Summer,31.5,34.2,30.1,20.0,71.5,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
