warehouse_id,product_id,available_stock_units,avg_weekly_demand_units,weeks_of_cover_calc,reorder_flag_calc,stock_status,inventory_risk,shortage_units,capacity_utilization_pct,risk_source,pipeline_timestamp
WH-KOL-001,ICE-001,77,67.3,1.14,1,Healthy,NORMAL,57.6,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,ICE-002,95,87.3,1.09,1,Healthy,NORMAL,79.6,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,ICE-003,63,85.4,0.74,1,Healthy,NORMAL,107.8,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,ICE-004,76,86.3,0.88,1,Healthy,NORMAL,96.6,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,ICE-005,72,100.1,0.72,1,Healthy,NORMAL,128.2,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,ICE-006,89,79.1,1.13,1,Healthy,NORMAL,69.2,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,ICE-007,92,116.5,0.79,1,Healthy,NORMAL,141.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,ICE-008,81,74.6,1.09,1,Healthy,NORMAL,68.2,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,ICE-009,73,95.4,0.77,1,Healthy,NORMAL,117.8,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,ICE-010,81,60.5,1.34,1,Healthy,NORMAL,40.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,CHO-001,37,7.0,5.29,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,CHO-002,39,6.4,6.09,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,CHO-003,49,7.6,6.45,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,CHO-004,43,5.5,7.82,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,CHO-005,47,5.1,9.22,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,CHO-006,56,5.6,10.0,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,CHO-007,43,6.3,6.83,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,CHO-008,52,5.2,10.0,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,CHO-009,36,6.6,5.45,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,CHO-010,57,4.6,12.39,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,SNK-001,69,43.6,1.58,1,Healthy,NORMAL,18.2,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,SNK-002,96,65.0,1.48,1,Healthy,NORMAL,34.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,SNK-003,53,16.9,3.14,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,SNK-004,84,53.7,1.56,1,Healthy,NORMAL,23.4,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,SNK-005,55,24.5,2.24,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,SNK-006,76,37.2,2.04,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,SNK-007,62,23.2,2.67,0,Healthy,NORMAL,0.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,SNK-008,92,63.3,1.45,1,Healthy,NORMAL,34.6,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,SNK-009,103,64.3,1.6,1,Healthy,NORMAL,25.6,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,SNK-010,103,76.1,1.35,1,Healthy,NORMAL,49.2,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,BEV-001,79,108.4,0.73,1,Healthy,NORMAL,137.8,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,BEV-002,88,66.9,1.32,1,Healthy,NORMAL,45.8,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,BEV-003,93,88.3,1.05,1,Healthy,NORMAL,83.6,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,BEV-004,105,126.7,0.83,1,Healthy,NORMAL,148.4,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,BEV-005,120,110.1,1.09,1,Healthy,NORMAL,100.2,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,BEV-006,93,95.1,0.98,1,Healthy,NORMAL,97.2,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,BEV-007,78,88.0,0.89,1,Healthy,NORMAL,98.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,BEV-008,84,76.5,1.1,1,Healthy,NORMAL,69.0,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
WH-KOL-001,BEV-009,46,26.1,1.76,1,Healthy,NORMAL,6.2,61.35,INVENTORY,2026-09-21T14:26:38.170968+00:00
